subject_name,question_text,option_1,option_2,option_3,option_4,correct_answer,explanation,difficulty,source,tags,chapter,year
관리적보안,산업보안관리사 자격시험의 목적으로 가장 적절한 것은?,기업의 기술 유출 방지를 위한 전문 인력 양성,일반 보안 교육 이수자 인증,공공기관 보안 담당자 선발,군사 기밀 보호 인력 양성,1,산업보안관리사는 기업 기술 유출 방지 전문 인력 양성을 목적으로 합니다.,보통,한국산업기술보호협회,자격,1장,2023
관리적보안,산업기술보호법에서 정의하는 '산업기술'에 해당하지 않는 것은?,제품 설계도,영업 비밀,제조 공정,직원 개인정보,4,직원 개인정보는 개인정보보호법의 적용 대상이며 산업기술에 해당하지 않습니다.,보통,산업기술보호법,법령,1장,2023
관리적보안,기업 내부 보안정책 수립 시 가장 먼저 해야 할 것은?,보안 솔루션 도입,경영진의 보안 방침 수립,직원 보안 교육 실시,보안 감사 수행,2,보안정책은 경영진의 의지와 방침이 먼저 수립되어야 합니다.,어려움,보안관리론,정책,2장,2023
관리적보안,정보보호 관리체계(ISMS)에 대한 설명으로 틀린 것은?,조직의 정보자산 보호 체계,국제 표준 ISO 27001 기반,한 번 인증 받으면 영구 유효,정기적 심사 및 갱신 필요,3,ISMS 인증은 3년 유효하며 매년 사후 심사를 받아야 합니다.,보통,ISMS 인증기준,인증,2장,2023
관리적보안,산업스파이 활동을 방지하기 위한 보안 조치가 아닌 것은?,핵심기술 보유자 관리,외부 방문자 통제,직원 역량 강화 교육,취약점 스캐닝,4,취약점 스캐닝은 기술적 보안 조치입니다.,쉬움,보안관리론,방첩,3장,2023
물리적보안,물리적 보안의 3대 원칙이 아닌 것은?,억제,탐지,지연,해킹,4,물리적 보안 3대 원칙은 억제·탐지·지연이며 해킹은 기술적 공격입니다.,쉬움,물리보안론,기초,1장,2023
물리적보안,출입통제 시스템의 구성요소가 아닌 것은?,카드리더기,생체인식장치,방화벽,전자잠금장치,3,방화벽은 네트워크 보안 장비이며 물리적 출입통제 구성요소가 아닙니다.,보통,물리보안론,출입통제,1장,2023
물리적보안,CCTV 설치 시 고려해야 할 사항으로 가장 적절하지 않은 것은?,사각지대 최소화,저장 장치 용량,화질 및 해상도,직원 성과 모니터링,4,CCTV는 보안 목적으로 사용되어야 하며 직원 성과 모니터링은 부적절합니다.,보통,물리보안론,영상보안,2장,2023
물리적보안,보안구역 설정 시 적용하는 '심층방어(Defense in Depth)' 개념에 해당하지 않는 것은?,외부 울타리,건물 외벽,내부 보안구역,단일 잠금장치,4,심층방어는 다중 보안 레이어 개념으로 단일 잠금장치는 이에 해당하지 않습니다.,어려움,물리보안론,심층방어,2장,2023
물리적보안,잠금장치의 보안 수준이 가장 높은 것은?,일반 열쇠 잠금,번호 잠금,생체인식 잠금,카드키 잠금,3,생체인식 잠금장치는 위조 및 분실 위험이 없어 보안 수준이 가장 높습니다.,보통,물리보안론,잠금장치,3장,2023
기술적보안,암호화 알고리즘에서 대칭키 암호화 방식이 아닌 것은?,AES,DES,RSA,3DES,3,RSA는 공개키(비대칭키) 암호화 알고리즘입니다.,보통,암호학,암호화,1장,2023
기술적보안,방화벽의 주요 기능으로 올바른 것은?,바이러스 치료,네트워크 트래픽 필터링,데이터 암호화,취약점 자동 패치,2,방화벽은 정의된 규칙에 따라 네트워크 트래픽을 허용 또는 차단합니다.,쉬움,네트워크보안,방화벽,1장,2023
기술적보안,VPN(Virtual Private Network)의 주요 기능이 아닌 것은?,데이터 암호화,터널링,바이러스 탐지,인증,3,VPN은 암호화·터널링·인증을 제공하지만 바이러스 탐지 기능은 없습니다.,보통,네트워크보안,VPN,2장,2023
기술적보안,해시 함수의 특성으로 옳지 않은 것은?,단방향성,충돌 저항성,복호화 가능,결정론적,3,해시 함수는 단방향 함수로 복호화가 불가능합니다.,어려움,암호학,해시,2장,2023
기술적보안,접근통제 모델 중 사용자의 역할에 따라 권한을 부여하는 것은?,MAC,DAC,RBAC,ABAC,3,RBAC(Role-Based Access Control)은 사용자 역할에 따라 접근 권한을 부여합니다.,보통,접근통제,RBAC,3장,2023
